Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Provinsi Jawa Barat,April-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.93
Provinsi Jawa Barat,April-2017,2017,Sandang,108.96
Provinsi Jawa Barat,April-2017,2017,Kesehatan,120.41
Provinsi Jawa Barat,April-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",116.56
Provinsi Jawa Barat,April-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",129.98
Provinsi Jawa Barat,March-2017,2017,Umum,125.87
Provinsi Jawa Barat,March-2017,2017,Bahan Makanan,140.55
Provinsi Jawa Barat,March-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",127.49
Provinsi Jawa Barat,March-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.05
Provinsi Jawa Barat,March-2017,2017,Sandang,108.57
Provinsi Jawa Barat,March-2017,2017,Kesehatan,120.08
Provinsi Jawa Barat,March-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",116.52
Provinsi Jawa Barat,March-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",129.63
Provinsi Jawa Barat,February-2017,2017,Umum,125.77
Provinsi Jawa Barat,February-2017,2017,Bahan Makanan,140.75
Provinsi Jawa Barat,February-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",127.41
Provinsi Jawa Barat,February-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",119.69
Provinsi Jawa Barat,February-2017,2017,Sandang,108.45
Provinsi Jawa Barat,February-2017,2017,Kesehatan,119.93
Provinsi Jawa Barat,February-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",116.36
Provinsi Jawa Barat,February-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",129.64
Provinsi Jawa Barat,January-2017,2017,Umum,125.32
Provinsi Jawa Barat,January-2017,2017,Bahan Makanan,141.05
Provinsi Jawa Barat,January-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",126.52
Provinsi Jawa Barat,January-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",118.88
Provinsi Jawa Barat,January-2017,2017,Sandang,108.1
Provinsi Jawa Barat,January-2017,2017,Kesehatan,119.37
Provinsi Jawa Barat,January-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",116.14
Provinsi Jawa Barat,January-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",129.21
Kota Bogor,December-2017,2017,Umum,131.86
Kota Bogor,December-2017,2017,Bahan Makanan,138.75
Kota Bogor,December-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",128.67
Kota Bogor,December-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",125.88
Kota Bogor,December-2017,2017,Sandang,112.23
Kota Bogor,December-2017,2017,Kesehatan,132.72
Kota Bogor,December-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",139.8
Kota Bogor,December-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",140.01
Kota Bogor,November-2017,2017,Umum,131.3
Kota Bogor,November-2017,2017,Bahan Makanan,136.04
Kota Bogor,November-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",128.82
Kota Bogor,November-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",126.38
Kota Bogor,November-2017,2017,Sandang,112.38
Kota Bogor,November-2017,2017,Kesehatan,132.58
Kota Bogor,November-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",137.7
Kota Bogor,November-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",139.94
Kota Bogor,October-2017,2017,Umum,130.77
Kota Bogor,October-2017,2017,Bahan Makanan,135.3
Kota Bogor,October-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",128.49
Kota Bogor,October-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",125.95
Kota Bogor,October-2017,2017,Sandang,112.08
Kota Bogor,October-2017,2017,Kesehatan,131.55
Kota Bogor,October-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",135.89
Kota Bogor,October-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",140.02
Kota Bogor,September-2017,2017,Umum,130.43
Kota Bogor,September-2017,2017,Bahan Makanan,135.89
Kota Bogor,September-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",126.78
Kota Bogor,September-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",125.69
Kota Bogor,September-2017,2017,Sandang,112.06
Kota Bogor,September-2017,2017,Kesehatan,130.96
Kota Bogor,September-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",134.99
Kota Bogor,September-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",140.07
Kota Bogor,August-2017,2017,Umum,129.66
Kota Bogor,August-2017,2017,Bahan Makanan,137.11
Kota Bogor,August-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",126.39
Kota Bogor,August-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",125.63
Kota Bogor,August-2017,2017,Sandang,111.74
Kota Bogor,August-2017,2017,Kesehatan,129.98
Kota Bogor,August-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",125.51
